,0,1,2
61,SAN PABLO L1,0.7215539590953086,0.16121774656634766
62,SAN PABLO L5,0.7215539590953086,0.16121774656634766
63,PATRONATO,0.7852591241194644,0.5201169172260027
64,EINSTEIN,0.8895678209481424,0.5386099840909793
65,LAGUNA SUR,0.6415209629972172,0.0917875533046729
66,LOS QUILLAYES,0.21351443361060882,0.8108802681000281
67,SAN RAMON,0.2981441877111322,0.5381736625592122
68,CRISTOBAL COLON,0.8001248265086186,0.7841267450508914
69,TRINIDAD,0.2729030455922095,0.7997486562049836
70,UNIVERSIDAD CATOLICA,0.7377360137570921,0.5502635815079147
71,SIMON BOLIVAR,0.7121670929389988,0.8730690301142049
72,LA CISTERNA L4A,0.31470246772406857,0.439220928371707
73,BELLAVISTA DE LA FLORIDA,0.39161043654362165,0.7432763181429836
74,SANTA ISABEL,0.7090014752223674,0.5985418294439265
75,QUINTA NORMAL,0.7387677965065861,0.3634130039819802
76,MANUEL MONTT,0.7908850461334479,0.6512251833303659
77,CAMINO AGRICOLA,0.5148526086994418,0.6591232149413111
78,CEMENTERIOS,0.853154269852216,0.5366001750934271
79,PARQUE OHIGGINS,0.6506821812341135,0.4739713260973937
80,TOESCA,0.6834120409570632,0.4659273832945564
81,EL LLANO,0.5536186593807495,0.5089099963286978
82,LAS MERCEDES,0.035665901413269384,0.8497999604628675
83,EL GOLF,0.8420813729170268,0.7619341234503002
84,ALCANTARA,0.8476942012412669,0.7912811002646241
85,NUBLE,0.6201027418186447,0.6247004113754271
86,ROJAS MAGALLANES,0.3216377587094806,0.7756544822977024
87,CUMMING,0.7444076851229399,0.4181005186908707
88,CERRO BLANCO,0.8161427735926523,0.5299541556450021
89,PEDRERO,0.4440288410338692,0.6820359788757037
90,SANTIAGO BUERAS,0.49276791871436737,0.0
91,LAS TORRES,0.4779764139002605,0.8024786075365377
92,SAN JOSE DE LA ESTRELLA,0.24524917291525938,0.8048884956085354
93,PARQUE BUSTAMANTE,0.7278345655950064,0.5927618635212619
94,PRINCIPE DE GALES,0.743710227917457,0.8668602735600193
95,EL PARRON,0.3626057315444612,0.4548103625188349
96,MONTE TABOR,0.5574900269730201,0.05837389036895748
97,LO VIAL,0.4900313375640676,0.4916736484388703
98,LA GRANJA,0.29857540655904635,0.6664846699112431
99,LOS ORIENTALES,0.6419879712636993,0.864994493029214
100,SANTA JULIA,0.342365069527504,0.7157555846332231
101,HERNANDO DE MAGALLANES,0.8786070932881821,0.9456325485508665
102,LOS HEROES L2,0.7119837812830249,0.45248613843689417
103,LO PRADO,0.7256042737803261,0.19370887422469116
104,TOBALABA L4,0.8353861329096656,0.7352700298411763
105,BAQUEDANO L5,0.7516803568466965,0.5852083705956228
